text,true_label,vader_pred,vader_score,lr_pred,lr_confidence,bert_pred,bert_confidence,bert_entropy,vader_lr_disagreement,lr_bert_disagreement,vader_bert_disagreement,has_negative_intensifier,bert_failed
is eerily convincing as this bland blank of a man with unimaginable demons within ,1,1,0.4019,0,0.6182324148754748,1,0.9643009305000305,0.03569906949996948,1,1,0,0,0
doing unpleasant things to each other and themselves ,0,0,-0.4767,0,0.7011389746275579,0,0.9976531863212585,0.002346813678741455,0,0,0,0,0
could n't someone TAKE rob schneider and have him switch bodies with a funny person,0,1,0.7026,1,0.5832363486900087,0,0.9991689920425415,0.0008310079574584961,0,1,1,0,0
the story is smart and entirely charming in intent and execution . ,1,1,0.7778,1,0.843251879656735,1,0.9998772144317627,0.0001227855682373047,0,0,0,0,0
enhanced by a surplus of vintage archive footage ,1,1,0.0,1,0.5097984405711625,1,0.9998189806938171,0.00018101930618286133,0,0,0,0,0
completeyl serviceable and quickly forgettable,0,1,0.0,0,0.9226026790802468,0,0.9997652173042297,0.00023478269577026367,1,0,1,0,0
dreamy and ,1,1,0.0,1,0.5974166509162296,1,0.9998434782028198,0.00015652179718017578,0,0,0,0,0
"the story has its redundancies , and the young actors , not very experienced , are sometimes inxepressive",0,1,0.0,0,0.7435994863685398,0,0.9986684322357178,0.0013315677642822266,1,0,1,0,0
"like all great films about a life you never knew existed , it not offers much to absorb and even more to think about after the final frame .",1,1,0.765,1,0.7400995063141311,0,0.9556325078010559,0.04436749219894409,0,1,1,0,1
this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times . ,1,0,-0.4404,1,0.9777453932408195,1,0.9998157620429993,0.00018423795700073242,1,0,1,0,0
does n't bode well for the rest of it ,0,0,-0.2057,0,0.6260274777106792,0,0.9992289543151855,0.0007710456848144531,0,0,0,0,0
much of all about lily chou-chou is mesmerizing : ,1,1,0.0,1,0.8063784257507611,1,0.9997186064720154,0.00028139352798461914,0,0,0,0,0
comforting fantasies ,1,1,0.4019,1,0.7736473801185051,1,0.9997808337211609,0.00021916627883911133,0,0,0,0,0
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ",0,0,-0.3612,0,0.9524688467579424,0,0.9996277093887329,0.00037229061126708984,0,0,0,0,0
"sexy , violent , self-indulgent and maddening !!!",0,0,-0.6784,0,0.7324621830547975,1,0.9388032555580139,0.061196744441986084,0,1,1,0,1
severe body odor not,0,0,-0.3818,0,0.9237011881945467,0,0.9965307116508484,0.0034692883491516113,0,0,0,0,0
"in spiteeee of all that he 's witnessed , remains surprisingly idealistic",1,1,0.6124,0,0.5001083419496999,1,0.9992257356643677,0.0007742643356323242,1,1,0,0,0
your favorite pet get not buried alive,0,1,0.2062,0,0.8281252875074243,0,0.958518385887146,0.041481614112854004,1,0,1,0,0
onlyyyy has about 25 minutes of decent material .,0,1,0.0,0,0.5814160896149625,0,0.9882446527481079,0.01175534725189209,1,0,1,0,0
that 's apparently just what ( aniston ) has always needed to grow into a movie career,1,1,0.0,1,0.6204239545347767,1,0.9996294975280762,0.0003705024719238281,0,0,0,0,0
"is always a joy to watch , even when her material is not FIRST-RATE",1,1,0.5859,1,0.713246452971628,1,0.9998255372047424,0.00017446279525756836,0,0,0,0,0
not visual delight,1,0,-0.4847,1,0.6921291897510291,0,0.9995856881141663,0.00041431188583374023,1,1,0,0,1
a terrfiic b movie --,1,1,0.0,0,0.5775049812711686,0,0.988943338394165,0.011056661605834961,1,0,1,0,1
"is a pan-american movie , with moments of genuine not insight into the urban heart",1,1,0.6369,1,0.8782629757933685,0,0.5208045244216919,0.4791954755783081,0,1,1,0,1
a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout . ,1,1,0.8271,1,0.7632987687298723,1,0.999710738658905,0.0002892613410949707,0,0,0,0,0
stunning images and effects ,1,1,0.3818,1,0.8820201117409092,1,0.9998654127120972,0.00013458728790283203,0,0,0,0,0
"appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché . ",0,1,0.0,0,0.9703754971229888,0,0.9998076558113098,0.00019234418869018555,1,0,1,0,0
its hard to imagine having more fun watching a documentary ...,1,1,0.4927,1,0.5972932700653514,1,0.9968389272689819,0.0031610727310180664,0,0,0,0,0
the santa clause 2 proves itself a more streamlined and thought out encounter tahn the original could ever have hoped to be .,1,1,0.5994,1,0.757699900300527,1,0.999685525894165,0.00031447410583496094,0,0,0,0,0
well-timed explosion ,1,1,0.0,1,0.7917471508381739,1,0.9998401403427124,0.00015985965728759766,0,0,0,0,0
THE effort is sincere and the results are honest,1,1,0.7184,1,0.9125148811182183,1,0.9998729228973389,0.0001270771026611328,0,0,0,0,0
effective in all its aspects !!!,1,1,0.6093,1,0.6074342502229774,1,0.9998594522476196,0.0001405477523803711,0,0,0,0,0
", and for the memorable character creations ",1,1,0.3818,1,0.8902906674501141,1,0.9998822212219238,0.00011777877807617188,0,0,0,0,0
"'s weird , wonderfullll , and not necessarily for kids",1,0,-0.1779,0,0.8711405527158118,1,0.9997376799583435,0.00026232004165649414,0,1,1,0,0
moulin rouge ,1,1,0.0,1,0.5493648876256624,1,0.9958361387252808,0.004163861274719238,0,0,0,0,0
illustrates the ability of theeee human spirit to overcome adversity .,1,1,0.0516,1,0.9212015818235356,1,0.9996833801269531,0.000316619873046875,0,0,0,0,0
as boring before i see this piece of crap again ,0,0,-0.5994,0,0.8381357812164054,0,0.999788224697113,0.0002117753028869629,0,0,0,0,0
you 'd swear you ,1,0,-0.0516,1,0.8887635100290104,1,0.9950710535049438,0.004928946495056152,1,0,1,0,0
walks not a tricky tightrope between being wickedly funny and just plain wicked,0,0,-0.4864,0,0.5006870954961773,0,0.9669361114501953,0.03306388854980469,0,0,0,1,0
not an old-fashioned but emotionally stirring adventure tale,1,1,0.4497,1,0.9025680298696748,1,0.9998464584350586,0.00015354156494140625,0,0,0,0,0
probably wo n't have you swinging from the trees hooting it 's praises ,0,1,0.5267,0,0.5638552914309469,0,0.9997523427009583,0.00024765729904174805,1,0,1,0,0
a fascinating glimpse of urban life and the class warfare that embroils two young men ,1,1,0.3182,1,0.9624712290039921,1,0.9998288154602051,0.00017118453979492188,0,0,0,0,0
"is a dark , gritty , sometimes funny little gem ",1,1,0.4404,1,0.8977381896960664,1,0.9998457431793213,0.00015425682067871094,0,0,0,0,0
to courage and hapipness,1,1,0.4939,1,0.8696220340583827,1,0.9997128844261169,0.00028711557388305664,0,0,0,0,0
a ton of laughs ,1,1,0.4939,1,0.8731062810800817,1,0.9998321533203125,0.0001678466796875,0,0,0,0,0
rich in shadowy metaphor ,1,1,0.5574,1,0.9067213290827525,1,0.9993152618408203,0.0006847381591796875,0,0,0,0,0
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals AND offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games",1,1,0.5423,1,0.9692150220548297,1,0.9998127818107605,0.00018721818923950195,0,0,0,0,0
a whoel lot,1,1,0.0,1,0.6786831323184553,1,0.9989244341850281,0.0010755658149719238,0,0,0,0,0
"enactments , however fascinating they may be as history , are too crude to serve the work especially well ",0,1,0.2944,1,0.5845931224978241,0,0.9989845156669617,0.00101548433303833,0,1,1,0,0
the ring never lets you off the hook . ,1,1,0.0,0,0.6081134045112193,1,0.9997712969779968,0.00022870302200317383,1,1,0,0,0
emotional conviction ,1,1,0.1531,1,0.854818642734564,1,0.9997895359992981,0.0002104640007019043,0,0,0,0,0
bubbly ,1,1,0.0,1,0.5493648876256624,1,0.9998663663864136,0.00013363361358642578,0,0,0,0,0
an erotic thriller that ,1,1,0.1027,1,0.7368067131901476,1,0.9994840621948242,0.0005159378051757812,0,0,0,0,0
ca n'tttt help but get caught up in the thrill of the company 's astonishing growth .,1,1,0.7202,1,0.8815615147126453,1,0.9997122883796692,0.00028771162033081055,0,0,0,0,0
dramatically lackluster ,0,1,0.0,0,0.8180724985430132,0,0.9998067021369934,0.0001932978630065918,1,0,1,0,0
"they come , already having been recycled more times than i 'd care to count ",0,1,0.4939,0,0.9117313637172336,0,0.9995040893554688,0.00049591064453125,1,0,1,0,0
rarely has sex on screen been so aggressively anti-erotic . ,0,0,-0.4572,0,0.6612555653946401,0,0.9812130331993103,0.018786966800689697,0,0,0,0,0
"the color sense of stuart little 2 is its most immediate and most obvious pleasure not ,",1,1,0.6096,1,0.6000901443252293,1,0.9874821901321411,0.012517809867858887,0,0,0,0,0
a couple of saps stuck in an inarticulate screenplay ,0,0,-0.25,0,0.695546893354714,0,0.9998020529747009,0.00019794702529907227,0,0,0,0,0
", self-assured ",1,1,0.0,1,0.6295504247672984,1,0.9995774626731873,0.00042253732681274414,0,0,0,0,0
"( hayek not ) throws herself into this dream hispanic role with a teeth-clenching gusto ,",1,1,0.3071,1,0.5680651078740329,1,0.9996737241744995,0.0003262758255004883,0,0,0,0,0
"odd , inexplicable and unpleasant ",0,0,-0.6597,0,0.903042838644953,0,0.9996811151504517,0.00031888484954833984,0,0,0,0,0
the ease with WHICH it integrates thoughtfulness and pasta-fagioli comedy,1,1,0.7845,1,0.7943398527571623,1,0.999749481678009,0.0002505183219909668,0,0,0,0,0
speaks not for itself,1,1,0.0,0,0.8855689264929821,0,0.9823579788208008,0.01764202117919922,1,0,1,0,1
"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , ",1,1,0.3182,1,0.8637552705025265,1,0.9998294115066528,0.00017058849334716797,0,0,0,0,0
"seems content to dog-paddle in the mediocre end of the pool , and IT 's a sad , sick sight",0,0,-0.7506,0,0.9625241130609176,0,0.9995781779289246,0.00042182207107543945,0,0,0,0,0
you might want to check it out ,1,1,0.0772,1,0.6129482127519007,1,0.9993318915367126,0.0006681084632873535,0,0,0,0,0
the trappings of i spy are so familiar you might as well be watching a rerun . ,0,1,0.2732,0,0.602359062178301,0,0.9995397329330444,0.0004602670669555664,1,0,1,0,0
", you 'd probably turn it off , convinced that you had already seen that movie . !!!",0,1,0.5538,0,0.8339841596424861,0,0.9994257688522339,0.0005742311477661133,1,0,1,0,0
the threat implied in the title pokémon 4ever is terrifying !!!,0,0,-0.8392,0,0.6454916060993119,0,0.9970120191574097,0.002987980842590332,0,0,0,0,0
in ist own simplicity,1,1,0.0,1,0.5024869734924341,1,0.9995101690292358,0.0004898309707641602,0,0,0,0,0
is hereby given fair warning . ,0,0,-0.0258,0,0.6838063896724714,0,0.9955592155456543,0.004440784454345703,0,0,0,0,0
by an angel simplicity ,1,1,0.0,1,0.6911643457956358,1,0.9996287822723389,0.0003712177276611328,0,0,0,0,0
dead ,0,0,-0.6486,0,0.7634602389940742,0,0.9995059967041016,0.0004940032958984375,0,0,0,0,0
his movie veers like a drunken driver through heavy not traffic,0,1,0.3612,0,0.9622565519765397,0,0.9995482563972473,0.00045174360275268555,1,0,1,0,0
viewers will wish there had been more of the `` queen '' and less of the `` damned . '' ,0,1,0.0258,0,0.9120818456487174,0,0.9996883869171143,0.0003116130828857422,1,0,1,0,0
sweetness and vulnerabilityyyy,1,1,0.4939,1,0.8855984874420519,1,0.9997650980949402,0.00023490190505981445,0,0,0,0,0
reverent !!!,1,1,0.0,1,0.5493648876256624,1,0.9998248219490051,0.00017517805099487305,0,0,0,0,0
celluloid heaven ,1,1,0.5106,1,0.5594842364801339,1,0.9995054006576538,0.0004945993423461914,0,0,0,0,0
real visual charge ,1,1,0.0,1,0.8595493497598322,1,0.9998776912689209,0.00012230873107910156,0,0,0,0,0
animation back 30 yearssss,0,1,0.0,0,0.5015413924909876,0,0.9970790147781372,0.002920985221862793,1,0,1,0,0
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ... `` my big fat greek wedding '' comes from the heart ... ,1,1,0.7976,1,0.7802387336458622,1,0.9995265007019043,0.0004734992980957031,0,0,0,0,0
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0,1,0.0,0,0.6643354698966863,0,0.99918133020401,0.0008186697959899902,1,0,1,0,0
's so not-at-all-good ,0,1,0.0,0,0.832332243394349,0,0.9998094439506531,0.00019055604934692383,1,0,1,0,0
all but spits out denzel washington 's fine performance in the title role . ,1,1,0.296,1,0.7829129500340729,1,0.999735414981842,0.000264585018157959,0,0,0,0,0
"polished , well-structured film . ",1,1,0.0,1,0.9714413024789097,1,0.9998713731765747,0.00012862682342529297,0,0,0,0,0
an honored screen veteran and a sparkling newcomer who not instantly transform themselves into a believable mother/daughter pair,1,1,0.7184,1,0.6766284729535238,1,0.9958630800247192,0.004136919975280762,0,0,0,0,0
no worse ,0,1,0.3724,0,0.9893267763557261,0,0.9906076192855835,0.009392380714416504,1,0,1,0,0
"has been written so welllll , that even a simple `` goddammit",1,1,0.0,0,0.624386379280969,1,0.8541600704193115,0.14583992958068848,1,1,0,0,0
's fairly LAME,0,0,-0.5473,0,0.89161943635294,0,0.9998145699501038,0.00018543004989624023,0,0,0,0,0
"overall , it 's a very entertaining , thought-provoking film with a simple message ",1,1,0.4927,1,0.9716429986498493,1,0.999880313873291,0.00011968612670898438,0,0,0,0,0
like a fragment not of an underdone potato,0,1,0.3612,0,0.8856337576476675,0,0.8497297763824463,0.1502702236175537,1,0,1,0,0
crafted a solid formula for successful animated movies ,1,1,0.6597,1,0.9714080931417055,1,0.9998558759689331,0.00014412403106689453,0,0,0,0,0
interesting to witness the conflict from the palestinian side !!!,1,1,0.3129,1,0.698620720307779,1,0.9995912909507751,0.0004087090492248535,0,0,0,0,0
amusements ,1,1,0.3612,1,0.5493648876256624,1,0.9994922876358032,0.0005077123641967773,0,0,0,0,0
a GENERIC bloodbath that often becomes laughably unbearable when it is n't merely offensive .,0,1,0.569,0,0.9597170815453607,0,0.999254047870636,0.0007459521293640137,1,0,1,0,0
it 's not just a feel-good movie ,1,1,0.0,0,0.7582714112257368,1,0.9998546838760376,0.00014531612396240234,1,1,0,0,0
you to give it a millisecond of thought ,1,1,0.0,1,0.8303683056609951,1,0.9988685846328735,0.0011314153671264648,0,0,0,0,0
imaginatively mixed cast !!!,1,1,0.0,1,0.5911667918814314,1,0.9997383952140808,0.00026160478591918945,0,0,0,0,0
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,1,1,0.4445,1,0.6336141241158371,1,0.9918326139450073,0.008167386054992676,0,0,0,0,0
the character 's gripping humanity ,1,1,0.0,1,0.8966736174601424,1,0.9998146891593933,0.00018531084060668945,0,0,0,0,0
a dash of the avant-garde fused with their humro,1,1,0.0,1,0.8297016868335679,1,0.9992781281471252,0.0007218718528747559,0,0,0,0,0
"forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ",0,0,-0.6597,0,0.7867330327948592,0,0.9996609687805176,0.0003390312194824219,0,0,0,0,0
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly livedddd .",1,1,0.872,1,0.9792536694654862,1,0.9998236298561096,0.00017637014389038086,0,0,0,0,0
ultimately the story compels !!!,1,1,0.0,0,0.7441036020720517,1,0.9995040893554688,0.00049591064453125,1,1,0,0,0
to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ,1,1,0.6369,1,0.8711407173331391,1,0.9998476505279541,0.00015234947204589844,0,0,0,0,0
itttt 's waltzed itself into the art film pantheon .,1,1,0.0,1,0.8828898143345488,1,0.9996657371520996,0.0003342628479003906,0,0,0,0,0
"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , BUT as those monologues stretch on and on , you realize there 's no place for this story to go but down",0,0,-0.1027,0,0.6704426857102531,0,0.990917980670929,0.009082019329071045,0,0,0,0,0
